alberto|0 %|9,1005722439827E-05 %|0 %|0%
alcastro|12,9429857509762 %|40,04461100514 %|27,3184384220171 %|0%
andinho|0 %|0 %|0,000280906504015558 %|0%
anunes81|0 %|0 %|0 %|0%
barbosaalr|0 %|0 %|0 %|0%
branco|0 %|0 %|0 %|0%
Carlos Sergio Pivetta|0 %|0 %|0 %|0%
chutabola|0,000172893572767879 %|0,00764448068494547 %|0,00786538211243564 %|0%
danielcmm|0 %|0 %|0 %|0%
danilo.dma|0,0139179326078143 %|1,4210543558979 %|1,4966698533949 %|0%
denis|0 %|9,1005722439827E-05 %|0 %|0%
fabspo|8,92692739593752 %|3,90796773301105 %|7,05262596081729 %|0%
fcarvalho|0,292708818696019 %|0,476960991307133 %|0,944594937502985 %|0%
Gabriel Fernandes|0 %|0 %|0 %|0%
gsquirino|0 %|0,000182011444879654 %|0,00299633604283262 %|0%
helton_hls|0 %|0 %|0,000187271002677039 %|0%
kleberlp|0,385033986554067 %|0,439921662274124 %|0,780732810160576 %|0%
laura.pivetta|0 %|0,0498711358970252 %|0,16442394035044 %|0%
lenio.paiva|0 %|0 %|9,36355013385195E-05 %|0%
leovilla|0 %|0 %|0 %|0%
lg_sjc|2,32671525552373 %|2,81225883483553 %|3,83456105081505 %|0%
lise|0 %|0 %|0 %|0%
lpfernandes|0 %|0 %|0 %|0%
lucas_slp@hotmail.com|56,8260543698418 %|21,8246283326296 %|10,7401792745309 %|0%
magno.sousa|0 %|0,00345821745271343 %|0,016573483736918 %|0%
Marvinmsp|0 %|0 %|0 %|0%
Mazola|0 %|0 %|0 %|0%
Navarrete|0 %|0,000182011444879654 %|0,000374542005354078 %|0%
pauloraamorim|0 %|0 %|1,30996066372589 %|0%
Pedro Oliveira|0 %|0 %|0 %|0%
rafael.aar|0,488165002710107 %|3,27702505933573 %|3,26394630565811 %|0%
teles|0 %|0 %|0 %|0%
Telouis|0,00492746682388456 %|0,0133778411986546 %|0,038390555548793 %|0%
thais|6,89750263878815 %|13,8025649052812 %|32,028959587854 %|0%
Tharcius|0 %|0 %|0,000187271002677039 %|0%
thoris|0 %|0 %|0 %|0%
toninha|0 %|0 %|0 %|99,9999064185636%
vieira junior|0 %|0 %|0 %|9,35814364376167E-05%
wfukuda|10,8948884879679 %|11,9181094107197 %|10,9890624370886 %|0%
érico|0 %|0 %|0,00889537262715935 %|0%
